Time (s),E (m)
0.5000,502107.5056
1.0000,502119.4623
1.5000,502120.5564
2.0000,502112.4565
2.5000,502119.3692
3.0000,502126.8214
3.5000,502124.2121
4.0000,502126.7851
4.5000,502128.8590
5.0000,502121.8804
5.5000,502118.3744
6.0000,502129.5707
6.5000,502115.2975
7.0000,502123.9829
8.0000,502115.7758
8.5000,502126.9632
9.0000,502123.5144
9.5000,502120.1537
10.0000,502125.0642
10.5000,502126.2838
11.0000,502122.1545
11.5000,502113.8591
12.0000,502122.7443
12.5000,502130.6310
13.0000,502114.8755
13.5000,502128.8946
14.0000,502124.7151
14.5000,502119.3151
15.0000,502129.3246
15.5000,502121.5619
16.0000,502132.7674
16.5000,502120.8319
17.0000,502131.3648
17.5000,502117.7763
18.0000,502124.0291
18.5000,502130.9057
19.5000,502128.2222
21.0000,502127.5022
21.5000,502117.9185
22.0000,502126.2861
22.5000,502126.3493
23.0000,502118.4953
23.5000,502125.6232
24.0000,502128.3741
24.5000,502117.3907
25.0000,502124.8598
25.5000,502129.8670
26.0000,502127.0951
26.5000,502119.8422
27.0000,502118.5809
27.5000,502121.5108
28.0000,502123.2039
28.5000,502114.5219
29.0000,502123.0344
29.5000,502121.9770
30.0000,502130.4850
30.5000,502127.8170
31.0000,502122.4980
31.5000,502122.1182
32.0000,502116.7447
32.5000,502126.5876
33.0000,502119.8857
33.5000,502121.4567
34.0000,502117.2401
34.5000,502122.5952
35.0000,502124.5045
35.5000,502125.7908
36.5000,502118.4586
37.0000,502146.1917
38.0000,502122.7376
38.5000,502119.2118
39.0000,502118.6194
39.5000,502123.2702
40.0000,502119.5779
40.5000,502127.8477
41.0000,502133.3902
41.5000,502123.4404
42.0000,502122.1782
42.5000,502126.5512
43.0000,502128.8145
43.5000,502120.5549
44.0000,502130.9189
44.5000,502116.4109
45.0000,502127.8170
45.5000,502120.7837
46.0000,502125.9656
46.5000,502120.4466
47.0000,502121.2773
47.5000,502131.3342
48.0000,502117.2751
48.5000,502122.8104
49.0000,502127.4899
49.5000,502122.5184
50.0000,502127.0133
50.5000,502133.6806
51.0000,502116.7596
51.5000,502123.9009
52.0000,502120.3790
52.5000,502117.4230
53.5000,502123.7247
54.0000,502144.1358
55.0000,502125.8958
55.5000,502114.3962
56.0000,502130.4859
56.5000,502119.9552
57.0000,502119.2558
57.5000,502124.5769
58.0000,502122.1381
58.5000,502129.5685
59.0000,502119.6197
59.5000,502123.2510
60.0000,502117.9742
60.5000,502117.4526
61.0000,502139.6556
61.5000,502131.3073
62.0000,502117.9836
62.5000,502118.3557
63.0000,502123.4026
63.5000,502124.2978
64.0000,502123.1806
64.5000,502122.0110
65.0000,502115.9152
65.5000,502128.0796
66.0000,502121.2066
66.5000,502131.0951
67.0000,502122.2931
67.5000,502119.4528
68.0000,502121.2558
68.5000,502125.2454
69.0000,502123.3443
69.5000,502124.2180
70.0000,502123.3056
70.5000,502124.6398
71.0000,502120.3210
71.5000,502125.9111
72.0000,502118.3181
72.5000,502127.1083
73.0000,502132.3497
73.5000,502123.7442
74.0000,502128.8145
74.5000,502125.9833
75.0000,502127.8841
75.5000,502131.7620
76.0000,502121.5462
76.5000,502130.6566
77.0000,502117.3033
77.5000,502123.3876
78.0000,502130.4026
78.5000,502114.8056
79.0000,502120.5343
79.5000,502120.3089
80.0000,502121.9102
80.5000,502115.6804
81.0000,502128.9217
81.5000,502128.3241
82.0000,502117.8578
82.5000,502128.0157
83.0000,502117.5546
83.5000,502135.9234
84.0000,502116.6739
84.5000,502119.3431
85.0000,502124.0774
85.5000,502116.5777
86.0000,502129.5445
86.5000,502125.6529
87.0000,502118.8236
87.5000,502113.2778
88.0000,502118.1565
88.5000,502117.1138
89.0000,502128.7743
89.5000,502124.9033
90.0000,502116.4372
90.5000,502119.4280
91.0000,502122.6604
91.5000,502116.8335
92.0000,502123.1222
92.5000,502128.6204
93.0000,502112.7221
93.5000,502117.2007
94.0000,502126.9258
94.5000,502126.6122
95.0000,502126.2191
95.5000,502123.6258
96.0000,502129.6555
96.5000,502126.5459
97.0000,502126.4901
97.5000,502126.4654
98.0000,502126.5924
99.0000,502123.6083
99.5000,502123.1334
100.0000,502131.3944
100.5000,502118.1217
101.0000,502114.8477
101.5000,502127.5799
102.0000,502121.6441
102.5000,502114.7148
103.0000,502117.3769
103.5000,502120.1665
104.0000,502127.9179
104.5000,502130.6178
105.0000,502124.1808
105.5000,502111.9398
106.0000,502129.1142
106.5000,502127.8348
107.0000,502125.5250
107.5000,502128.7743
108.0000,502119.3425
108.5000,502132.2008
109.0000,502119.9652
109.5000,502130.0293
110.0000,502117.4374
110.5000,502114.8893
111.0000,502118.1454
111.5000,502114.7100
112.0000,502127.1496
112.5000,502117.4028
113.0000,502121.8984
113.5000,502125.2923
114.0000,502128.5784
114.5000,502119.1329
115.0000,502119.7020
116.0000,502131.2950
116.5000,502121.2038
117.0000,502125.4026
117.5000,502114.5441
118.0000,502126.6126
118.5000,502128.1179
119.0000,502121.1813
119.5000,502129.9361
120.0000,502127.1088
120.5000,502120.3775
121.0000,502128.1394
121.5000,502130.1337
122.0000,502112.9894
122.5000,502127.5810
123.0000,502122.3543
123.5000,502121.5022
124.0000,502117.2217
124.5000,502135.6241
125.0000,502122.5558
125.5000,502126.8317
126.0000,502121.9172
126.5000,502118.5213
127.0000,502112.7128
127.5000,502117.9986
128.0000,502124.7341
128.5000,502129.1515
129.0000,502124.8598
129.5000,502125.3523
130.0000,502124.5395
130.5000,502124.6778
131.0000,502125.1516
131.5000,502116.6796
132.0000,502136.8963
133.0000,502129.6487
133.5000,502121.5485
134.0000,502132.3587
134.5000,502113.7490
135.0000,502124.5109
135.5000,502128.2792
136.0000,502123.5090
136.5000,502115.5062
137.0000,502121.5013
137.5000,502119.1240
138.0000,502129.6532
138.5000,502127.2906
139.0000,502120.3556
139.5000,502121.0173
140.0000,502123.2073
140.5000,502121.2002
141.0000,502128.7453
141.5000,502123.6495
142.0000,502119.9929
142.5000,502120.8052
143.0000,502130.4750
143.5000,502122.6075
144.5000,502112.7811
145.0000,502136.0618
146.0000,502121.0014
146.5000,502124.1850
147.0000,502122.5562
147.5000,502124.6128
148.0000,502128.7036
148.5000,502119.0547
149.0000,502122.5057
149.5000,502135.1978
150.0000,502122.0523
150.5000,502116.1945
151.0000,502117.8901
151.5000,502121.8782
152.0000,502120.6760
152.5000,502127.7153
153.0000,502133.6693
153.5000,502130.1847
154.0000,502129.7824
154.5000,502123.0800
155.0000,502120.7713
155.5000,502128.0169
156.0000,502121.3161
156.5000,502135.9825
157.0000,502125.4310
157.5000,502135.0143
158.0000,502121.3612
158.5000,502128.8093
159.0000,502127.7373
159.5000,502130.8916
160.0000,502121.9936
160.5000,502123.3809
161.5000,502125.4876
162.0000,502141.8507
163.0000,502138.1251
163.5000,502121.6303
164.0000,502129.9458
164.5000,502133.0708
165.0000,502132.8741
165.5000,502118.4684
166.0000,502125.2328
166.5000,502122.5197
167.0000,502130.8385
167.5000,502121.1402
168.0000,502118.6709
168.5000,502124.1562
169.0000,502123.2644
169.5000,502127.3952
170.0000,502128.8106
170.5000,502127.8164
171.0000,502115.9449
171.5000,502119.7754
172.0000,502124.6402
172.5000,502125.9284
173.0000,502112.3600
173.5000,502129.0732
174.0000,502129.6869
174.5000,502120.9361
175.0000,502132.6184
175.5000,502114.5390
176.0000,502122.4359
176.5000,502126.3376
177.0000,502120.1685
177.5000,502120.4634
178.5000,502125.4240
179.0000,502130.2761
180.0000,502122.2437
180.5000,502115.5547
181.0000,502118.9229
181.5000,502113.6507
182.0000,502123.8065
182.5000,502125.8646
183.0000,502119.4494
183.5000,502128.1745
184.0000,502133.7173
184.5000,502118.2951
185.0000,502126.4616
185.5000,502124.1437
186.0000,502128.4197
186.5000,502127.3380
187.0000,502127.1373
187.5000,502124.0686
188.0000,502128.5978
188.5000,502126.3123
189.0000,502119.5170
189.5000,502125.8070
190.0000,502121.6561
190.5000,502122.8869
191.0000,502124.4856
191.5000,502126.2824
192.0000,502124.2606
192.5000,502127.8987
193.0000,502124.7422
193.5000,502120.6547
194.0000,502122.9285
194.5000,502128.9377
195.0000,502122.5702
195.5000,502132.4115
196.0000,502122.4521
196.5000,502126.4550
197.0000,502129.6319
197.5000,502125.0994
198.0000,502119.6389
198.5000,502124.9028
199.0000,502134.8292
199.5000,502121.5637
200.0000,502120.0807
200.5000,502116.9260
201.0000,502123.9051
201.5000,502129.5775
202.0000,502118.3523
202.5000,502124.6694
203.0000,502132.0211
203.5000,502132.3082
204.0000,502123.5344
204.5000,502115.3528
205.0000,502123.5867
205.5000,502130.7999
206.0000,502125.0487
206.5000,502116.5768
207.0000,502120.3014
207.5000,502115.9790
208.0000,502120.2747
208.5000,502124.3045
209.0000,502124.5559
209.5000,502120.0595
210.0000,502123.5049
210.5000,502128.2086
211.0000,502124.7939
211.5000,502120.9563
212.0000,502126.9702
212.5000,502126.0628
213.0000,502127.2244
213.5000,502128.6774
214.0000,502119.2269
214.5000,502118.1489
215.0000,502125.3393
215.5000,502131.9419
216.0000,502122.5354
216.5000,502123.5190
217.0000,502129.0013
217.5000,502120.3880
218.0000,502111.9958
218.5000,502125.0388
219.0000,502129.6357
219.5000,502118.3604
220.0000,502127.9843
220.5000,502122.8970
221.0000,502117.2909
221.5000,502135.8451
222.0000,502126.1755
222.5000,502120.5632
223.0000,502120.3405
224.0000,502129.2254
224.5000,502122.6587
225.0000,502117.7650
225.5000,502125.9243
226.0000,502124.7973
226.5000,502123.0114
227.0000,502117.7979
227.5000,502116.6020
228.0000,502131.9672
228.5000,502123.2994
229.0000,502125.5087
229.5000,502124.0720
230.0000,502118.2944
230.5000,502122.9461
231.0000,502116.8335
231.5000,502131.3196
232.0000,502125.2697
232.5000,502116.0004
233.0000,502124.8969
233.5000,502119.3738
234.0000,502128.3079
234.5000,502121.4247
235.0000,502103.7797
235.5000,502120.5044
236.0000,502126.3090
236.5000,502117.8076
237.0000,502122.5418
237.5000,502119.0237
238.0000,502132.4374
238.5000,502118.7233
239.0000,502120.7382
239.5000,502118.6360
240.0000,502121.3648