Select time,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,155,197,262,315,613,530,459,445,405,366,421
Andorra,,..,..,..,1,..,..,..,2,..,..,..
Austria,,43,53,47,73,72,69,103,91,63,68,68
Belgium,,70,80,104,137,102,104,134,114,92,87,114
Belarus,,3,3,9,6,11,10,7,4,13,7,5
Bosnia and Herzegovina,,13,5,23,13,13,15,16,19,17,25,17
Bulgaria,,21,23,27,31,72,85,110,122,128,133,129
Czech Republic,,8,5,10,26,13,20,18,22,14,27,31
Cyprus,,1,2,5,9,11,24,18,8,11,4,6
Croatia,,34,42,49,51,77,88,77,88,104,87,99
Denmark,,6,11,9,8,11,7,17,21,13,7,11
Estonia,,..,..,1,1,5,3,1,..,2,..,5
Finland,,4,7,2,8,5,2,6,6,3,6,5
France,,272,256,354,493,465,384,532,375,402,359,341
Germany,,451,336,468,734,735,692,906,739,742,583,869
Greece,,7,9,21,24,45,20,21,25,18,28,30
Ireland,,4,4,6,29,4,14,13,10,15,13,17
Iceland,,..,..,..,..,..,..,1,..,1,2,..
Kosovo,,1,1,2,6,19,24,24,26,19,17,9
Latvia,,..,1,..,2,4,..,2,..,1,2,2
Liechtenstein,,..,1,1,2,4,..,..,2,..,1,..
Lithuania,,..,1,..,3,3,2,2,1,3,4,3
Luxembourg,,16,15,16,32,26,39,34,24,21,17,17
"Macedonia, The Former Yugoslav Republic of",,7,15,31,24,49,29,40,39,34,33,27
Malta,,7,5,6,7,7,16,41,35,29,27,11
"Moldova, Republic of",,6,13,17,25,48,68,85,82,117,147,150
Monaco,,11,15,9,26,55,74,81,32,25,18,14
Montenegro,,2,..,3,..,1,4,1,1,2,5,27
Norway,,4,5,7,7,2,1,17,4,6,6,10
Netherlands,,19,26,42,49,44,57,54,38,53,33,34
Poland,,33,41,58,63,107,103,141,134,160,170,208
Portugal,,10,12,14,24,10,19,46,266,666,695,581
United Kingdom,,113,176,158,369,268,301,406,294,287,291,284
Romania,,104,99,170,214,369,403,463,567,583,697,908
Russian Federation,,9,17,21,25,31,45,44,65,62,60,429
San Marino,,9,6,9,23,18,7,19,23,12,1,7
Holy See (Vatican City State),,..,..,..,..,1,..,1,..,..,1,1
Serbia,,10,15,23,31,20,41,35,43,38,55,98
Slovakia,,3,7,1,7,8,10,6,17,11,15,15
Slovenia,,12,22,29,15,30,34,30,45,27,25,52
Spain,,80,174,174,291,254,335,371,482,683,609,476
Sweden,,11,15,17,32,20,13,33,25,19,23,21
Switzerland,,278,330,411,715,646,616,755,469,401,339,321
Turkey,,1,6,4,18,13,13,15,9,18,9,16
Ukraine,,33,39,61,98,173,206,203,229,278,382,309
Hungary,,4,12,13,17,22,19,20,35,23,33,31
Algeria,,7,5,5,5,10,7,12,11,10,10,7
Angola,,..,..,..,1,2,3,..,4,4,..,1
Benin,,..,..,1,1,..,3,..,..,..,1,..
Botswana,,..,..,1,..,..,..,..,..,..,2,..
Burkina Faso,,2,..,..,..,..,1,1,3,1,5,1
Burundi,,1,..,7,1,2,..,2,..,..,1,1
Cameroon,,2,4,4,2,7,6,5,10,10,8,13
Cape Verde,,2,2,3,3,5,2,4,10,1,6,5
Central African Republic,,2,2,2,..,..,..,..,1,3,..,..
Chad,,..,..,..,..,..,..,1,..,..,1,..
Comoros,,1,..,..,..,..,..,..,..,..,..,..
Congo,,3,..,4,6,2,3,6,..,3,1,4
"Congo, The Democratic Republic of The",,5,5,6,20,12,12,8,19,19,3,4
C̫te D'Ivoire,,3,1,2,6,5,9,7,4,6,9,5
Egypt,,21,9,17,31,31,22,18,20,28,32,30
Eritrea,,7,5,19,6,7,7,15,10,3,3,14
Ethiopia,,4,9,2,16,25,15,13,15,16,18,10
Gabon,,..,..,3,..,1,..,2,1,2,1,1
Gambia,,..,..,..,..,..,..,..,1,1,1,..
Ghana,,3,4,2,12,9,1,7,4,6,1,5
Djibouti,,1,..,1,..,1,..,..,..,1,..,..
Guinea,,1,2,1,1,1,1,1,2,4,3,2
Equatorial Guinea,,..,..,..,..,1,1,2,..,..,1,..
Guinea-Bissau,,1,..,..,1,3,2,2,3,2,1,..
Kenya,,35,17,25,20,46,27,13,31,18,17,9
Liberia,,..,..,..,..,2,..,1,2,2,..,..
Libyan Arab Jamahiriya,,4,2,..,6,2,2,..,3,1,2,3
Madagascar,,3,3,4,9,4,4,9,3,8,8,4
Malawi,,1,1,3,..,..,1,2,..,..,..,..
Mali,,1,..,..,..,1,..,..,1,..,1,..
Morocco,,131,186,189,181,323,373,329,285,321,354,470
Mauritania,,..,..,..,1,..,..,..,..,..,..,..
Mauritius,,2,..,3,6,4,2,6,7,5,3,5
Mozambique,,6,5,12,8,10,11,4,10,7,4,7
Namibia,,..,1,1,..,..,..,2,2,..,..,1
Niger,,..,..,..,..,..,..,..,..,1,..,..
Nigeria,,6,10,11,21,20,15,13,13,11,9,25
Rwanda,,..,..,5,3,..,..,3,..,..,..,2
Sao Tome and Principe,,..,..,..,..,..,..,..,..,1,..,..
Senegal,,5,7,6,10,17,14,20,18,21,16,38
Seychelles,,..,..,2,..,3,1,..,2,..,..,1
Sierra Leone,,..,1,1,..,..,..,..,..,2,1,..
Somalia,,2,1,2,2,4,2,..,2,..,3,1
South Africa,,26,13,32,30,42,38,37,31,17,22,17
Sudan,,..,8,1,2,2,..,2,..,5,4,1
Swaziland,,1,..,..,1,..,1,..,..,..,2,..
"Tanzania, United Republic of",,2,..,..,4,2,15,8,11,3,3,1
Togo,,..,2,1,..,1,5,..,1,..,2,..
Tunisia,,21,34,39,64,93,145,165,130,140,192,248
Uganda,,6,5,8,10,8,8,9,8,7,4,4
Zambia,,2,2,4,4,1,2,4,2,2,..,4
Zimbabwe,,1,1,1,2,..,..,1,2,1,..,..
Afghanistan,,2,1,..,..,2,1,..,..,1,..,4
Saudi Arabia,,3,2,3,8,2,5,4,4,..,..,..
Armenia,,..,..,..,1,..,2,..,1,1,1,1
Azerbaijan,,..,1,..,..,2,3,..,..,1,..,1
Bahrain,,1,1,..,1,1,..,1,..,..,..,..
Bangladesh,,8,15,16,16,29,30,15,10,13,12,22
Bhutan,,..,..,..,1,..,..,..,..,..,..,..
Cambodia,,..,..,1,..,..,1,3,3,..,..,..
China,,54,49,39,47,47,42,53,63,81,61,86
"Korea, Republic of",,1,..,1,1,3,3,3,3,..,1,1
"Korea, Democratic People's Republic of",,..,..,..,..,..,1,1,1,..,..,..
United Arab Emirates,,4,5,7,15,10,15,19,11,6,10,5
Philippines,,24,25,33,26,52,57,56,49,50,49,72
Georgia,,..,..,1,..,6,8,5,6,6,13,10
Japan,,7,6,5,11,10,9,14,15,5,16,10
Jordan,,2,3,..,2,6,4,2,1,9,1,1
India,,47,84,82,49,146,122,135,107,87,108,127
Indonesia,,2,4,4,11,12,7,6,7,7,4,4
"Iran, Islamic Republic of",,1,2,7,9,3,13,13,8,8,10,8
Iraq,,1,1,..,3,1,5,2,1,..,..,2
Israel,,6,17,13,21,15,24,46,31,31,17,15
Kazakhstan,,1,..,2,3,1,6,3,6,2,3,4
Kyrgyzstan,,..,..,..,3,..,..,1,..,1,..,..
Kuwait,,1,..,1,..,..,..,..,2,2,..,2
Lao People's Democratic Republic,,1,..,..,..,..,..,..,..,..,1,1
Lebanon,,2,4,8,7,12,8,10,5,3,5,5
Malaysia,,1,1,1,1,2,3,6,..,1,2,2
Maldives,,..,..,..,..,1,..,..,..,1,..,1
Mongolia,,..,..,..,..,..,..,1,3,..,..,..
Myanmar,,..,..,..,..,2,..,1,..,..,..,..
Nepal,,..,..,..,..,..,..,1,..,..,..,..
Oman,,..,1,..,..,2,..,2,..,..,..,..
Pakistan,,10,12,22,16,45,21,15,17,19,21,26
Qatar,,..,2,3,7,..,3,6,2,..,1,1
Singapore,,..,2,5,12,3,1,5,..,2,1,1
Syrian Arab Republic,,..,2,9,1,2,4,2,5,3,4,2
Sri Lanka,,15,21,17,28,28,30,28,36,25,30,32
Tajikistan,,..,..,..,..,..,2,..,..,..,..,..
"Taiwan, Province of China",,2,2,1,3,..,4,3,2,..,1,..
"Palestinian Territory, Occupied",,..,..,..,..,3,1,..,1,..,4,1
Thailand,,13,20,20,32,54,65,54,60,46,35,24
Timor-Leste,,..,..,..,..,1,..,..,1,..,1,..
Turkmenistan,,..,..,..,..,1,..,..,..,..,..,..
Uzbekistan,,1,..,1,..,..,2,1,5,3,3,3
Viet Nam,,..,3,1,5,1,2,1,4,1,6,3
Yemen,,..,..,..,..,..,1,..,..,..,..,..
Antigua and Barbuda,,..,..,1,1,4,1,..,..,..,..,..
Argentina,,250,186,346,472,544,333,283,264,240,162,145
Bahamas,,..,..,..,1,1,..,..,..,..,..,..
Barbados,,..,..,1,..,..,..,..,..,1,..,1
Belize,,..,..,..,1,..,..,..,1,..,..,..
"Bolivia, Plurinational State of",,17,6,7,6,13,10,16,10,2,10,12
Brazil,,149,116,154,183,228,238,321,299,410,473,480
Canada,,80,80,102,135,158,151,143,122,124,89,83
Chile,,20,17,21,16,26,27,15,13,26,20,7
Colombia,,17,15,28,46,67,69,37,47,51,47,36
Costa Rica,,9,15,13,23,24,17,18,21,16,16,9
Cuba,,9,17,18,34,51,51,55,56,52,53,49
Dominica,,..,1,..,..,..,1,..,..,..,1,..
Dominican Republic,,24,36,42,64,51,57,41,33,37,57,69
Ecuador,,27,17,23,42,81,75,58,41,45,52,39
El Salvador,,1,1,5,4,4,3,2,1,..,1,2
Jamaica,,..,..,1,..,..,..,..,2,1,..,..
Guatemala,,1,3,3,5,16,2,2,8,2,2,2
Haiti,,1,..,1,2,..,..,3,..,1,..,2
Honduras,,2,1,3,2,1,2,2,..,1,2,3
Mexico,,14,19,28,22,32,29,35,38,15,24,15
Nicaragua,,4,2,4,1,3,4,5,3,4,4,..
Panama,,1,7,7,16,8,22,16,17,6,5,13
Paraguay,,..,1,3,6,6,6,4,2,4,2,2
Peru,,37,47,56,55,108,90,79,71,79,77,66
Saint Lucia,,..,1,..,..,..,..,..,..,..,..,..
Saint Vincent and The Grenadines,,..,..,..,..,..,..,..,..,1,..,..
United States,,210,186,327,383,420,348,406,332,283,335,275
Trinidad and Tobago,,..,..,..,1,..,..,..,..,..,..,..
Uruguay,,16,14,18,20,28,18,18,14,15,11,8
"Venezuela, Bolivarian Republic of",,159,75,155,167,326,288,197,122,111,88,75
Australia,,67,79,85,122,78,82,97,85,103,102,75
New Zealand,,..,6,4,5,5,5,2,1,3,6,2
Samoa,,..,..,..,..,..,..,..,..,2,..,..
Tuvalu,,..,..,..,..,..,..,..,..,1,..,..
Vanuatu,,..,3,3,..,..,..,1,..,..,2,..