Ward name,Old code,New code,Population - 2015,Median Household income estimate (2012/13),% area that is open space - 2014
Hounslow - Heston Central,00ATGH,E05000355,12600,33580,"15,8"
Hounslow - Heston East,00ATGJ,E05000356,12700,34030,"27,1"
Hounslow - Heston West,00ATGK,E05000357,12750,29490,"39,1"
Hounslow - Hounslow Central,00ATGL,E05000358,16200,35830,"11,1"
Hounslow - Hounslow Heath,00ATGM,E05000359,15250,32530,"48,6"
Hounslow - Hounslow South,00ATGN,E05000360,11700,39920,"17,9"
Hounslow - Hounslow West,00ATGP,E05000361,13750,31890,"10,2"
Hounslow - Isleworth,00ATGQ,E05000362,12150,34790,"22,6"
Hounslow - Osterley and Spring Grove,00ATGR,E05000363,13350,42140,"54,3"
Hounslow - Syon,00ATGS,E05000364,14200,37040,"42,5"
Hounslow - Turnham Green,00ATGT,E05000365,11800,47080,"7,4"
Islington - Barnsbury,00AUFX,E05000366,12950,44970,11
Islington - Bunhill,00AUFY,E05000367,16700,39200,"13,5"
Islington - Caledonian,00AUFZ,E05000368,14950,35840,"16,4"
Islington - Canonbury,00AUGA,E05000369,12500,40590,"14,4"
Islington - Clerkenwell,00AUGB,E05000370,12350,43350,"9,3"
Islington - Finsbury Park,00AUGC,E05000371,15300,33620,"15,9"
Islington - Highbury East,00AUGD,E05000372,12150,47810,"21,6"
Islington - Highbury West,00AUGE,E05000373,16400,43800,"10,6"
Islington - Hillrise,00AUGF,E05000374,12350,39090,"18,3"
Islington - Holloway,00AUGG,E05000375,16050,35430,"16,9"
Islington - Junction,00AUGH,E05000376,12950,39470,"16,6"
Islington - Mildmay,00AUGJ,E05000377,13500,39300,"10,6"
Islington - St. George's,00AUGK,E05000378,13100,40860,"8,1"
Islington - St. Mary's,00AUGL,E05000379,12500,46190,"9,6"
Islington - St. Peter's,00AUGM,E05000380,13200,43870,"10,4"
Islington - Tollington,00AUGN,E05000381,13900,38090,"13,3"
Kensington and Chelsea - Abingdon,00AWFY,E05000382,10700,54690,"5,9"
Kensington and Chelsea - Brompton,00AWFZ,E05000383,8900,64320,"10,8"
Kensington and Chelsea - Campden,00AWGA,E05000384,8250,65500,"27,8"
Kensington and Chelsea - Colville,00AWGB,E05000385,8400,43560,"10,5"
Kensington and Chelsea - Courtfield,00AWGC,E05000386,9100,61810,"13,4"
Kensington and Chelsea - Cremorne,00AWGD,E05000387,8250,43920,"29,3"
Kensington and Chelsea - Earl's Court,00AWGE,E05000388,9300,44100,10
Kensington and Chelsea - Golborne,00AWGF,E05000389,9600,30100,"34,6"
Kensington and Chelsea - Hans Town,00AWGG,E05000390,8850,58100,"8,5"
Kensington and Chelsea - Holland,00AWGH,E05000391,9850,54770,"27,7"
Kensington and Chelsea - Norland,00AWGJ,E05000392,8750,53430,"15,4"
Kensington and Chelsea - Notting Barns,00AWGK,E05000393,9750,36690,"9,3"
Kensington and Chelsea - Pembridge,00AWGL,E05000394,7700,55710,"11,9"
Kensington and Chelsea - Queen's Gate,00AWGM,E05000395,9950,63630,"5,8"
Kensington and Chelsea - Redcliffe,00AWGN,E05000396,9300,54550,"28,1"
Kensington and Chelsea - Royal Hospital,00AWGP,E05000397,7350,60600,"43,1"
Kensington and Chelsea - St. Charles,00AWGQ,E05000398,9600,36100,"21,9"
Kensington and Chelsea - Stanley,00AWGR,E05000399,8250,54990,"9,1"
Kingston upon Thames - Alexandra,00AXFX,E05000400,9700,41390,"43,7"
Kingston upon Thames - Berrylands,00AXFY,E05000401,9800,42330,"10,9"
Kingston upon Thames - Beverley,00AXFZ,E05000402,10450,40700,"26,4"
Kingston upon Thames - Canbury,00AXGA,E05000403,13300,45600,7
Kingston upon Thames - Chessington North and Hook,00AXGB,E05000404,9000,37230,"27,5"
Kingston upon Thames - Chessington South,00AXGC,E05000405,10550,38310,"75,7"
Kingston upon Thames - Coombe Hill,00AXGD,E05000406,10750,45650,"42,1"
Kingston upon Thames - Coombe Vale,00AXGE,E05000407,10050,44320,11
Kingston upon Thames - Grove,00AXGF,E05000408,11800,41410,"23,6"
Kingston upon Thames - Norbiton,00AXGG,E05000409,10600,34650,"34,5"
Kingston upon Thames - Old Malden,00AXGH,E05000410,9700,41760,"21,3"
Kingston upon Thames - St. James,00AXGJ,E05000411,9250,41850,"28,2"
Kingston upon Thames - St. Mark's,00AXGK,E05000412,10900,44930,"23,9"
Kingston upon Thames - Surbiton Hill,00AXGL,E05000413,10950,43160,"5,8"
Kingston upon Thames - Tolworth and Hook Rise,00AXGM,E05000414,10650,37840,"33,1"
Kingston upon Thames - Tudor,00AXGN,E05000415,9850,48530,"22,7"
Lambeth - Bishop's,00AYFZ,E05000416,11400,40360,"31,6"
Lambeth - Brixton Hill,00AYGA,E05000417,16650,39050,"13,1"
Lambeth - Clapham Common,00AYGB,E05000418,13600,49520,"27,9"
Lambeth - Clapham Town,00AYGC,E05000419,14850,44960,"13,1"
Lambeth - Coldharbour,00AYGD,E05000420,17500,32220,"14,4"
Lambeth - Ferndale,00AYGE,E05000421,16400,39480,"10,3"
Lambeth - Gipsy Hill,00AYGF,E05000422,13900,36650,"25,7"
Lambeth - Herne Hill,00AYGG,E05000423,15600,41700,"37,9"
Lambeth - Knight's Hill,00AYGH,E05000424,15200,36950,"13,3"
Lambeth - Larkhall,00AYGJ,E05000425,18000,37260,20
Lambeth - Oval,00AYGK,E05000426,16600,39200,"24,9"
Lambeth - Prince's,00AYGL,E05000427,15400,37600,"20,7"
Lambeth - St. Leonard's,00AYGM,E05000428,15200,39880,"12,1"
Lambeth - Stockwell,00AYGN,E05000429,15250,35050,"13,2"
Lambeth - Streatham Hill,00AYGP,E05000430,15150,39250,"14,1"
Lambeth - Streatham South,00AYGQ,E05000431,14750,36710,26
Lambeth - Streatham Wells,00AYGR,E05000432,15250,38270,"18,3"
Lambeth - Thornton,00AYGS,E05000433,14000,41880,"22,4"
Lambeth - Thurlow Park,00AYGT,E05000434,13800,41600,"19,7"
Lambeth - Tulse Hill,00AYGU,E05000435,16250,35610,"16,6"
Lambeth - Vassall,00AYGW,E05000436,15600,34830,"16,8"
Lewisham - Bellingham,00AZGD,E05000437,15300,31340,"46,7"
Lewisham - Blackheath,00AZGE,E05000438,15000,44870,"34,6"
Lewisham - Brockley,00AZGF,E05000439,18550,38100,"13,3"
Lewisham - Catford South,00AZGG,E05000440,15650,39070,3
Lewisham - Crofton Park,00AZGH,E05000441,15350,42560,"20,7"
Lewisham - Downham,00AZGJ,E05000442,15000,30880,"30,1"
Lewisham - Evelyn,00AZGK,E05000443,18550,30560,"22,6"
Lewisham - Forest Hill,00AZGL,E05000444,15300,40960,"22,2"
Lewisham - Grove Park,00AZGM,E05000445,15100,36150,"21,6"
Lewisham - Ladywell,00AZGN,E05000446,15200,40290,"25,7"
Lewisham - Lee Green,00AZGP,E05000447,15050,42760,"11,7"
Lewisham - Lewisham Central,00AZGQ,E05000448,20250,35760,"13,8"
Lewisham - New Cross,00AZGR,E05000449,17650,31520,"16,5"
Lewisham - Perry Vale,00AZGS,E05000450,16050,39130,"9,7"
Lewisham - Rushey Green,00AZGT,E05000451,16650,34670,24
Lewisham - Sydenham,00AZGU,E05000452,16150,37060,"13,1"
Lewisham - Telegraph Hill,00AZGW,E05000453,17250,37230,"16,5"
Lewisham - Whitefoot,00AZGX,E05000454,15050,32840,"27,9"
Merton - Abbey,00BAFX,E05000455,10600,45370,"12,8"
Merton - Cannon Hill,00BAFY,E05000456,9500,42320,"42,7"
Merton - Colliers Wood,00BAFZ,E05000457,11250,38780,"14,6"
Merton - Cricket Green,00BAGA,E05000458,11800,29930,50
Merton - Dundonald,00BAGB,E05000459,9650,49910,"15,3"
Merton - Figge's Marsh,00BAGC,E05000460,11700,30860,23
Merton - Graveney,00BAGD,E05000461,10100,35580,"12,3"
Merton - Hillside,00BAGE,E05000462,9250,51480,"5,6"
Merton - Lavender Fields,00BAGF,E05000463,10650,33360,"18,6"
Merton - Longthornton,00BAGG,E05000464,10500,34350,"36,6"
Merton - Lower Morden,00BAGH,E05000465,9350,38730,34
Merton - Merton Park,00BAGJ,E05000466,9750,46300,"18,8"
Merton - Pollards Hill,00BAGK,E05000467,10800,31940,"52,8"
Merton - Ravensbury,00BAGL,E05000468,10250,32330,"37,8"
Merton - Raynes Park,00BAGM,E05000469,10000,49340,"24,4"
Merton - St. Helier,00BAGN,E05000470,10650,32530,"41,6"
Merton - Trinity,00BAGP,E05000471,10000,47380,"15,7"
Merton - Village,00BAGQ,E05000472,8750,62200,"62,2"
Merton - West Barnes,00BAGR,E05000473,10200,44170,"32,4"
Merton - Wimbledon Park,00BAGS,E05000474,11500,50730,"28,5"
Newham - Beckton,00BBGB,E05000475,16700,34100,"30,9"
Newham - Boleyn,00BBGC,E05000476,16350,31630,"6,1"
Newham - Canning Town North,00BBGD,E05000477,16650,28910,"21,6"
Newham - Canning Town South,00BBGE,E05000478,20350,32870,"26,6"
Newham - Custom House,00BBGF,E05000479,14850,31840,"30,6"
Newham - East Ham Central,00BBGG,E05000480,16200,32380,"10,8"
Newham - East Ham North,00BBGH,E05000481,14250,32340,"12,4"
Newham - East Ham South,00BBGJ,E05000482,16250,31430,"23,5"
Newham - Forest Gate North,00BBGK,E05000483,16550,34270,"13,8"
Newham - Forest Gate South,00BBGL,E05000484,18150,34550,"2,2"
Newham - Green Street East,00BBGM,E05000485,16250,31570,"2,4"
Newham - Green Street West,00BBGN,E05000486,15500,31080,"3,2"
Newham - Little Ilford,00BBGP,E05000487,17100,29730,"48,6"
Newham - Manor Park,00BBGQ,E05000488,15600,31580,"26,6"
Newham - Plaistow North,00BBGR,E05000489,15800,30740,"10,7"
Newham - Plaistow South,00BBGS,E05000490,16800,31750,"14,6"
Newham - Royal Docks,00BBGT,E05000491,16550,38580,"56,8"
Newham - Stratford and New Town,00BBGU,E05000492,26700,35840,"44,7"
Newham - Wall End,00BBGW,E05000493,15150,32330,"33,9"
Newham - West Ham,00BBGX,E05000494,16150,32310,"27,2"
Redbridge - Aldborough,00BCFY,E05000495,15800,37310,"78,2"
Redbridge - Barkingside,00BCFZ,E05000496,13150,39620,"1,3"
Redbridge - Bridge,00BCGA,E05000497,11850,39320,"35,8"
Redbridge - Chadwell,00BCGB,E05000498,14850,36700,5
Redbridge - Church End,00BCGC,E05000499,11900,45410,"4,8"
Redbridge - Clayhall,00BCGD,E05000500,13600,41450,22
Redbridge - Clementswood,00BCGE,E05000501,16950,30230,"7,1"
Redbridge - Cranbrook,00BCGF,E05000502,13300,38290,"39,9"
Redbridge - Fairlop,00BCGG,E05000503,12900,37560,"48,4"
Redbridge - Fullwell,00BCGH,E05000504,13150,35690,"23,7"
Redbridge - Goodmayes,00BCGJ,E05000505,13400,33820,"27,7"
Redbridge - Hainault,00BCGK,E05000506,13550,31520,"62,6"
Redbridge - Loxford,00BCGL,E05000507,17700,28500,"16,8"
Redbridge - Mayfield,00BCGM,E05000508,13950,35630,"14,3"
Redbridge - Monkhams,00BCGN,E05000509,10650,48780,31
Redbridge - Newbury,00BCGP,E05000510,17450,35550,"21,4"
Redbridge - Roding,00BCGQ,E05000511,12550,41040,"35,7"
Redbridge - Seven Kings,00BCGR,E05000512,16950,34480,"21,4"
Redbridge - Snaresbrook,00BCGS,E05000513,12100,45160,"12,6"
Redbridge - Valentines,00BCGT,E05000514,15050,34900,"13,3"
Redbridge - Wanstead,00BCGU,E05000515,11700,46370,"66,5"
Richmond upon Thames - Barnes,00BDFW,E05000516,10500,55450,"54,4"
Richmond upon Thames - East Sheen,00BDFX,E05000517,10500,56090,"76,6"
Richmond upon Thames - Fulwell and Hampton Hill,00BDFY,E05000518,10300,48810,"32,7"
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",00BDFZ,E05000519,10550,44870,"81,9"
Richmond upon Thames - Hampton,00BDGA,E05000520,10250,46750,"74,7"
Richmond upon Thames - Hampton North,00BDGB,E05000521,9600,39440,"28,2"
Richmond upon Thames - Hampton Wick,00BDGC,E05000522,10550,46760,50
Richmond upon Thames - Heathfield,00BDGD,E05000523,10600,36950,"27,1"
Richmond upon Thames - Kew,00BDGE,E05000524,11650,52130,"56,7"
Richmond upon Thames - Mortlake and Barnes Common,00BDGF,E05000525,11100,50100,"39,1"
Richmond upon Thames - North Richmond,00BDGG,E05000526,11050,50860,"54,1"
Richmond upon Thames - St. Margarets & North Twickenham,00BDGH,E05000527,11800,52870,"23,6"
Richmond upon Thames - South Richmond,00BDGJ,E05000528,11100,52690,"47,4"
Richmond upon Thames - South Twickenham,00BDGK,E05000529,10100,51380,"26,7"
Richmond upon Thames - Teddington,00BDGL,E05000530,10550,50600,64
Richmond upon Thames - Twickenham Riverside,00BDGM,E05000531,10650,51350,"37,8"
Richmond upon Thames - West Twickenham,00BDGN,E05000532,10750,45040,"45,6"
Richmond upon Thames - Whitton,00BDGP,E05000533,10050,42230,"21,2"
Southwark - Brunswick Park,00BEGC,E05000534,13600,36310,7
Southwark - Camberwell Green,00BEGD,E05000535,15950,31840,"1,6"
Southwark - Cathedrals,00BEGE,E05000536,17250,40430,"15,7"
Southwark - Chaucer,00BEGF,E05000537,16200,37780,"5,6"
Southwark - College,00BEGG,E05000538,11900,42600,"43,7"
Southwark - East Dulwich,00BEGH,E05000539,12400,48670,"0,7"
Southwark - East Walworth,00BEGJ,E05000540,13850,31010,"24,1"
Southwark - Faraday,00BEGK,E05000541,13050,30760,30
Southwark - Grange,00BEGL,E05000542,17600,38500,"4,5"
Southwark - Livesey,00BEGM,E05000543,15000,28880,"4,5"
Southwark - Newington,00BEGN,E05000544,15500,34190,"3,7"
Southwark - Nunhead,00BEGP,E05000545,13850,33540,"20,1"
Southwark - Peckham,00BEGQ,E05000546,15350,30030,7
Southwark - Peckham Rye,00BEGR,E05000547,13550,42820,"45,7"
Southwark - Riverside,00BEGS,E05000548,16600,43110,"23,2"
Southwark - Rotherhithe,00BEGT,E05000549,15050,36970,"34,1"
Southwark - South Bermondsey,00BEGU,E05000550,14400,31150,3
Southwark - South Camberwell,00BEGW,E05000551,13200,41130,"19,9"
Southwark - Surrey Docks,00BEGX,E05000552,15400,45410,"40,3"
Southwark - The Lane,00BEGY,E05000553,16450,37940,6
Southwark - Village,00BEGZ,E05000554,12500,58400,"33,8"
Sutton - Beddington North,00BFGC,E05000555,10550,39290,53
Sutton - Beddington South,00BFGD,E05000556,10900,35600,39
Sutton - Belmont,00BFGE,E05000557,10350,44260,19
Sutton - Carshalton Central,00BFGF,E05000558,10400,42200,"26,9"
Sutton - Carshalton South and Clockhouse,00BFGG,E05000559,10200,44270,"68,2"
Sutton - Cheam,00BFGH,E05000560,10550,46220,"24,7"
Sutton - Nonsuch,00BFGJ,E05000561,10900,42640,"10,4"
Sutton - St. Helier,00BFGK,E05000562,12300,31040,"25,8"
Sutton - Stonecot,00BFGL,E05000563,11000,39210,"21,5"
Sutton - Sutton Central,00BFGM,E05000564,11550,35660,"12,9"
Sutton - Sutton North,00BFGN,E05000565,10600,38060,"28,5"
Sutton - Sutton South,00BFGP,E05000566,10000,40460,"8,1"
Sutton - Sutton West,00BFGQ,E05000567,10900,41610,"23,1"
Sutton - The Wrythe,00BFGR,E05000568,10500,36790,18
Sutton - Wallington North,00BFGS,E05000569,10900,38710,"19,2"
Sutton - Wallington South,00BFGT,E05000570,10650,37960,"9,5"
Sutton - Wandle Valley,00BFGU,E05000571,12250,32330,"40,5"
Sutton - Worcester Park,00BFGW,E05000572,11950,40610,"22,3"
Tower Hamlets - Bethnal Green North,00BGFW,E05000573,14750,36230,"6,3"
Tower Hamlets - Bethnal Green South,00BGFX,E05000574,15150,32860,"16,9"
Tower Hamlets - Blackwall and Cubitt Town,00BGFY,E05000575,23250,43330,"42,2"
Tower Hamlets - Bow East,00BGFZ,E05000576,15650,36800,39
Tower Hamlets - Bow West,00BGGA,E05000577,13650,41000,"42,8"
Tower Hamlets - Bromley-by-Bow,00BGGB,E05000578,19750,31980,"11,6"
Tower Hamlets - East India and Lansbury,00BGGC,E05000579,16550,29680,"12,4"
Tower Hamlets - Limehouse,00BGGD,E05000580,17100,36260,"23,3"
Tower Hamlets - Mile End and Globe Town,00BGGE,E05000581,16200,34300,"12,5"
Tower Hamlets - Mile End East,00BGGF,E05000582,15200,32510,"33,3"
Tower Hamlets - Millwall,00BGGG,E05000583,26350,46940,35
Tower Hamlets - St. Dunstan's and Stepney Green,00BGGH,E05000584,17100,32930,"21,2"
Tower Hamlets - St. Katherine's and Wapping,00BGGJ,E05000585,13550,50770,"36,9"
Tower Hamlets - Shadwell,00BGGK,E05000586,15900,36360,"24,2"
Tower Hamlets - Spitalfields and Banglatown,00BGGL,E05000587,11800,39910,"1,4"
Tower Hamlets - Weavers,00BGGM,E05000588,15050,37760,"15,4"
Tower Hamlets - Whitechapel,00BGGN,E05000589,17300,37600,"5,4"
Waltham Forest - Cann Hall,00BHFX,E05000590,14350,32700,5
Waltham Forest - Cathall,00BHFY,E05000591,13300,30950,"23,5"
Waltham Forest - Chapel End,00BHFZ,E05000592,14600,36440,"31,2"
Waltham Forest - Chingford Green,00BHGA,E05000593,10550,39280,"54,9"
Waltham Forest - Endlebury,00BHGB,E05000594,11150,38580,"18,5"
Waltham Forest - Forest,00BHGC,E05000595,13250,36080,"40,4"
Waltham Forest - Grove Green,00BHGD,E05000596,15300,36350,"4,3"
Waltham Forest - Hale End and Highams Park,00BHGE,E05000597,12200,39490,"41,4"
Waltham Forest - Hatch Lane,00BHGF,E05000598,11400,36110,"37,7"
Waltham Forest - High Street,00BHGG,E05000599,14850,34810,"56,6"
Waltham Forest - Higham Hill,00BHGH,E05000600,14200,31270,"56,7"
Waltham Forest - Hoe Street,00BHGJ,E05000601,14600,34890,"10,6"
Waltham Forest - Larkswood,00BHGK,E05000602,12050,35170,"31,4"
Waltham Forest - Lea Bridge,00BHGL,E05000603,16250,31450,"40,1"
Waltham Forest - Leyton,00BHGM,E05000604,14950,31040,"27,6"
Waltham Forest - Leytonstone,00BHGN,E05000605,13450,38700,"5,8"
Waltham Forest - Markhouse,00BHGP,E05000606,15250,33780,"30,9"
Waltham Forest - Valley,00BHGQ,E05000607,11850,34250,"17,6"
Waltham Forest - William Morris,00BHGR,E05000608,13750,35070,"5,3"
Waltham Forest - Wood Street,00BHGS,E05000609,14150,35130,"34,4"
Wandsworth - Balham,00BJFZ,E05000610,15050,53420,"11,8"
Wandsworth - Bedford,00BJGA,E05000611,15100,46410,"44,9"
Wandsworth - Earlsfield,00BJGB,E05000612,16100,44360,"16,5"
Wandsworth - East Putney,00BJGC,E05000613,15850,49010,11
Wandsworth - Fairfield,00BJGD,E05000614,15350,48590,"11,1"
Wandsworth - Furzedown,00BJGE,E05000615,15850,38240,"19,3"
Wandsworth - Graveney,00BJGF,E05000616,15700,37960,"2,6"
Wandsworth - Latchmere,00BJGG,E05000617,15850,34990,"12,7"
Wandsworth - Nightingale,00BJGH,E05000618,14950,50790,"9,6"
Wandsworth - Northcote,00BJGJ,E05000619,15400,55810,"34,5"
Wandsworth - Queenstown,00BJGK,E05000620,20150,39580,"38,5"
Wandsworth - Roehampton,00BJGL,E05000621,17550,30320,"70,6"
Wandsworth - St. Mary's Park,00BJGM,E05000622,17250,44720,"26,9"
Wandsworth - Shaftesbury,00BJGN,E05000623,14500,50410,"2,1"
Wandsworth - Southfields,00BJGP,E05000624,16750,48160,"18,1"
Wandsworth - Thamesfield,00BJGQ,E05000625,15400,55380,"34,5"
Wandsworth - Tooting,00BJGR,E05000626,17350,36000,"33,7"
Wandsworth - Wandsworth Common,00BJGS,E05000627,16350,51420,"48,2"
Wandsworth - West Hill,00BJGT,E05000628,16850,40360,"31,9"
Wandsworth - West Putney,00BJGU,E05000629,15400,43280,20
Westminster - Abbey Road,00BKGA,E05000630,11500,52200,"7,2"
Westminster - Bayswater,00BKGB,E05000631,10500,49960,"3,8"
Westminster - Bryanston and Dorset Square,00BKGC,E05000632,12650,51370,"2,1"
Westminster - Churchill,00BKGD,E05000633,10550,39530,"22,2"
Westminster - Church Street,00BKGE,E05000634,12000,26290,"7,6"
Westminster - Harrow Road,00BKGF,E05000635,12350,35000,3
Westminster - Hyde Park,00BKGG,E05000636,13450,46880,"8,9"
Westminster - Knightsbridge and Belgravia,00BKGH,E05000637,10050,88330,"69,1"
Westminster - Lancaster Gate,00BKGJ,E05000638,13800,49290,"8,6"
Westminster - Little Venice,00BKGK,E05000639,11050,48770,"15,4"
Westminster - Maida Vale,00BKGL,E05000640,10550,45660,"27,2"
Westminster - Marylebone High Street,00BKGM,E05000641,11150,58370,"6,1"
Westminster - Queen's Park,00BKGN,E05000642,13050,32260,"4,4"
Westminster - Regent's Park,00BKGP,E05000643,12500,46510,"62,2"
Westminster - St. James's,00BKGQ,E05000644,12050,52520,"30,7"
Westminster - Tachbrook,00BKGR,E05000645,8500,47340,"32,4"
Westminster - Vincent Square,00BKGS,E05000646,10500,46550,"26,4"
Westminster - Warwick,00BKGT,E05000647,9800,50250,4
Westminster - Westbourne,00BKGU,E05000648,13200,32390,"19,2"
Westminster - West End,00BKGW,E05000649,11250,54970,"3,9"
City of London,00AA,E09000001,8100,63620,"18,6"
Barking and Dagenham,00AB,E09000002,205450,34080,"33,7"
Barnet,00AC,E09000003,393200,54530,"37,7"
Bexley,00AD,E09000004,237000,44430,"38,9"
Brent,00AE,E09000005,326350,39630,"22,3"
Bromley,00AF,E09000006,320100,55140,"57,4"
Camden,00AG,E09000007,230300,67990,"24,6"
Croydon,00AH,E09000008,381150,45120,"32,2"
Ealing,00AJ,E09000009,349350,45690,"31,5"
Enfield,00AK,E09000010,322150,41250,"48,5"
Greenwich,00AL,E09000011,281550,44370,"39,3"
Hackney,00AM,E09000012,262700,42690,"28,3"
Hammersmith and Fulham,00AN,E09000013,189850,62910,"21,1"
Haringey,00AP,E09000014,269100,45860,"27,8"
Harrow,00AQ,E09000015,247500,49060,"32,1"
Havering,00AR,E09000016,250350,44430,59
Hillingdon,00AS,E09000017,289500,44950,45
Hounslow,00AT,E09000018,263600,44490,"37,5"
Islington,00AU,E09000019,220800,54950,"13,7"
Kensington and Chelsea,00AW,E09000020,161700,116350,"19,8"
Kingston upon Thames,00AX,E09000021,167200,56920,"36,9"
Lambeth,00AY,E09000022,320450,48610,"20,7"
Lewisham,00AZ,E09000023,293050,43360,"22,1"
Merton,00BA,E09000024,206200,57160,"35,9"
Newham,00BB,E09000025,338000,34260,"29,9"
Redbridge,00BC,E09000026,292450,45380,"40,3"
Richmond upon Thames,00BD,E09000027,191600,76610,57
Southwark,00BE,E09000028,308650,48000,"22,6"
Sutton,00BF,E09000029,196400,49170,"33,9"
Tower Hamlets,00BG,E09000030,284300,45720,"26,9"
Waltham Forest,00BH,E09000031,271450,39460,"34,8"
Wandsworth,00BJ,E09000032,322750,66220,"31,6"
Westminster,00BK,E09000033,230550,80760,"28,6"
London,H,E12000007,8632850,51770,"39,1"
England,921,E92000001,54613400,"30763,3",n/a